Episode,Total Reward,Epsilon
634,101.2,0.042
635,-10.599999999999982,0.041
636,101.8,0.041
637,101.8,0.041
638,102.7,0.041
639,101.2,0.041
640,101.2,0.040
641,102.1,0.040
642,103.3,0.040
643,98.0,0.040
644,99.7,0.040
645,101.8,0.039
646,101.8,0.039
647,101.8,0.039
648,101.5,0.039
649,103.8,0.039
650,101.2,0.038
651,72.9,0.038
652,101.2,0.038
653,99.7,0.038
654,102.1,0.038
655,101.2,0.038
656,100.3,0.037
657,-13.399999999999984,0.037
658,101.8,0.037
659,102.7,0.037
660,-10.19999999999998,0.037
661,99.7,0.036
662,100.4,0.036
663,103.2,0.036
664,101.2,0.036
665,105.5,0.036
666,101.2,0.035
667,103.3,0.035
668,105.7,0.035
669,100.6,0.035
670,101.4,0.035
671,100.8,0.035
672,101.8,0.034
673,102.1,0.034
674,101.8,0.034
675,103.8,0.034
676,98.8,0.034
677,101.2,0.034
678,102.3,0.033
679,-10.59999999999998,0.033
680,-10.599999999999982,0.033
681,101.5,0.033
682,101.2,0.033
683,103.2,0.033
684,100.0,0.032
685,101.8,0.032
686,101.4,0.032
687,-10.599999999999982,0.032
688,101.8,0.032
689,-20.20000000000007,0.032
690,101.2,0.031
691,101.2,0.031
692,100.8,0.031
693,101.8,0.031
694,101.8,0.031
695,-11.199999999999985,0.031
696,99.7,0.031
697,101.2,0.030
698,58.49999999999996,0.030
699,101.2,0.030
700,71.4,0.030
701,104.2,0.030
702,101.2,0.030
703,99.7,0.029
704,103.3,0.029
705,106.4,0.029
706,69.10000000000001,0.029
707,101.2,0.029
708,100.6,0.029
709,101.2,0.029
710,101.8,0.028
711,102.1,0.028
712,101.2,0.028
713,101.2,0.028
714,101.2,0.028
715,99.7,0.028
716,104.0,0.028
717,103.2,0.027
718,101.2,0.027
719,104.2,0.027
720,99.7,0.027
721,101.5,0.027
722,101.8,0.027
723,99.7,0.027
724,100.0,0.027
725,101.8,0.026
726,103.8,0.026
727,104.0,0.026
728,101.8,0.026
729,101.2,0.026
730,-10.799999999999981,0.026
731,101.2,0.026
732,101.2,0.025
733,99.7,0.025
734,101.4,0.025
735,101.2,0.025
736,101.8,0.025
737,99.7,0.025
738,69.3,0.025
739,-8.499999999999988,0.025
740,101.2,0.024
741,101.2,0.024
742,101.8,0.024
743,101.8,0.024
744,-10.599999999999982,0.024
745,167.10000000000002,0.024
746,101.8,0.024
747,102.1,0.024
748,101.2,0.024
749,104.4,0.023
750,-10.999999999999982,0.023
751,51.09999999999999,0.023
752,101.8,0.023
753,101.2,0.023
754,-9.99999999999998,0.023
755,-10.599999999999982,0.023
756,101.8,0.023
757,71.0,0.022
758,101.8,0.022
759,101.8,0.022
760,44.19999999999995,0.022
761,39.3,0.022
762,101.2,0.022
763,100.6,0.022
764,101.8,0.022
765,102.3,0.022
766,101.8,0.022
767,95.00000000000001,0.021
768,103.1,0.021
769,101.8,0.021
770,99.7,0.021
771,75.2,0.021
772,102.9,0.021
773,101.2,0.021
774,99.7,0.021
775,101.8,0.021
776,103.6,0.020
777,101.8,0.020
778,103.1,0.020
779,101.2,0.020
780,100.8,0.020
781,99.7,0.020
782,101.2,0.020
783,102.7,0.020
784,-10.19999999999998,0.020
785,44.49999999999997,0.020
786,-10.799999999999981,0.019
787,-6.399999999999996,0.019
788,-10.199999999999982,0.019
789,103.3,0.019
790,-10.599999999999982,0.019
791,99.0,0.019
792,54.90000000000001,0.019
793,100.3,0.019
794,104.2,0.019
795,102.1,0.019
